epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,4231.81,0.48045,1.28614,0.19183,0.32506,0.93731,0.99901,1,0.995,0.90766,0.99901,1,0.995,0.80468,0.46125,0.87387,0.04409,0.24325,0.86228,0.00177824,0.00177824,0.00177824
58,4266.64,0.49108,1.37157,0.19467,0.33468,0.95069,0.99878,1,0.995,0.91465,0.99878,1,0.995,0.77292,0.45323,0.9164,0.04745,0.24565,0.8484,0.00177428,0.00177428,0.00177428
59,4302.39,0.48745,1.32232,0.18986,0.32425,0.94396,0.99892,1,0.995,0.92897,0.99892,1,0.995,0.8337,0.43606,0.83019,0.04717,0.23291,0.83645,0.00177032,0.00177032,0.00177032
60,4337.63,0.48032,1.348,0.19438,0.3198,0.95426,0.99894,1,0.995,0.91965,0.99894,1,0.995,0.81564,0.45206,0.83667,0.04473,0.24599,0.85379,0.00176636,0.00176636,0.00176636
61,4373.54,0.4878,1.23778,0.18987,0.32589,0.94634,0.99902,1,0.995,0.92233,0.99902,1,0.995,0.82624,0.46838,0.86366,0.04561,0.25536,0.85467,0.0017624,0.0017624,0.0017624
62,4409.5,0.4751,1.24064,0.1839,0.31544,0.94344,0.99848,1,0.995,0.91289,0.99848,1,0.995,0.78182,0.46732,0.86328,0.04714,0.25266,0.85282,0.00175844,0.00175844,0.00175844
63,4446.28,0.48157,1.23361,0.17918,0.32382,0.94639,0.99859,1,0.995,0.90306,0.99859,1,0.995,0.8299,0.48513,0.80216,0.03966,0.24681,0.87007,0.00175448,0.00175448,0.00175448
64,4482.19,0.49815,1.25752,0.17873,0.33349,0.95938,0.99904,1,0.995,0.91626,0.99904,1,0.995,0.81462,0.4684,0.8269,0.03928,0.25865,0.86245,0.00175052,0.00175052,0.00175052
65,4518.43,0.47747,1.22222,0.18014,0.32159,0.94106,0.99905,1,0.995,0.90648,0.99905,1,0.995,0.80759,0.4713,0.85985,0.0466,0.24537,0.86636,0.00174656,0.00174656,0.00174656
66,4555.09,0.48447,1.27938,0.17848,0.31957,0.94527,0.99905,1,0.995,0.91144,0.99905,1,0.995,0.82414,0.46555,0.84677,0.03633,0.24561,0.85648,0.0017426,0.0017426,0.0017426
67,4591.66,0.48203,1.2017,0.18234,0.31296,0.95227,0.99892,1,0.995,0.91259,0.99892,1,0.995,0.766,0.46371,0.93315,0.03528,0.24495,0.85938,0.00173864,0.00173864,0.00173864
68,4627.92,0.47543,1.16513,0.17252,0.30888,0.93708,0.99902,1,0.995,0.90198,0.99902,1,0.995,0.83648,0.46544,0.825,0.04165,0.24572,0.86472,0.00173468,0.00173468,0.00173468
69,4664.14,0.4822,1.21236,0.18522,0.3166,0.94398,0.99902,1,0.995,0.9293,0.99902,1,0.995,0.82175,0.44091,0.78438,0.03802,0.23733,0.84453,0.00173072,0.00173072,0.00173072
70,4700.7,0.47309,1.14194,0.175,0.30752,0.94121,0.99904,1,0.995,0.92073,0.99904,1,0.995,0.82522,0.4545,0.79359,0.03872,0.24972,0.85452,0.00172676,0.00172676,0.00172676
71,4736.96,0.45719,1.11677,0.18205,0.30477,0.93135,0.99905,1,0.995,0.92917,0.99905,1,0.995,0.80296,0.45255,0.88046,0.04574,0.24255,0.85808,0.0017228,0.0017228,0.0017228
72,4773.53,0.46626,1.11427,0.17088,0.3033,0.93829,0.99904,1,0.995,0.91703,0.99904,1,0.995,0.82194,0.45895,0.78299,0.04075,0.23787,0.87047,0.00171884,0.00171884,0.00171884
73,4809.96,0.47164,1.2307,0.18227,0.31669,0.94697,0.99905,1,0.995,0.91949,0.99905,1,0.995,0.83101,0.43636,0.82551,0.03808,0.2379,0.85414,0.00171488,0.00171488,0.00171488
74,4846.31,0.46299,1.15737,0.16502,0.30978,0.93575,1,1,0.995,0.92099,1,1,0.995,0.79979,0.44926,0.83828,0.04666,0.23267,0.85281,0.00171092,0.00171092,0.00171092
75,4882.16,0.4807,1.23364,0.17408,0.31321,0.94552,0.99905,1,0.995,0.94432,0.99905,1,0.995,0.85742,0.40648,0.73478,0.03747,0.21428,0.82645,0.00170696,0.00170696,0.00170696
76,4918.57,0.45066,1.16232,0.17309,0.29821,0.92632,0.99904,1,0.995,0.93181,0.99904,1,0.995,0.84711,0.44321,0.76136,0.03835,0.22632,0.83803,0.001703,0.001703,0.001703
77,4954.59,0.47064,1.18954,0.17304,0.31708,0.94037,0.99901,1,0.995,0.91448,0.99901,1,0.995,0.82364,0.44393,0.79577,0.03888,0.2365,0.85693,0.00169904,0.00169904,0.00169904
